feature,importance
Contract_AvgCharge,26.151514524207293
InternetService_AvgTenure,17.054682812782385
tenure,14.39267442348372
PaymentMethod,7.5122161041733095
MonthlyCharges,5.223346797260024
TotalCharges,4.28234939537271
OnlineSecurity,3.612489044912599
TotalCharges_x_tenure,3.552350479720225
PaperlessBilling,2.661839085288147
MultipleLines,2.390177805190052
MonthlyCharges_x_tenure,2.310692169677074
Dependents,1.4160415504893131
Contract,1.383696305814807
StreamingTV,1.3509258582667814
TechSupport,1.2972036868685282
SeniorCitizen,1.2775477459705453
ServiceCount,1.22759500073549
StreamingMovies,1.0340417556208028
OnlineBackup,0.5395242117366456
DeviceProtection,0.46750846469311175
InternetService,0.34904048841345137
PhoneService,0.3156981890437566
Partner,0.12889829812635747
gender,0.06794580215286597
