feature,importance
PaymentMethod,421.8
tenure,391.6
TotalCharges,297.8
MonthlyCharges,278.2
MonthlyCharges_x_tenure,254.4
PaperlessBilling,199.0
SeniorCitizen,189.2
MultipleLines,185.8
TotalCharges_x_tenure,179.8
Dependents,150.2
StreamingMovies,110.0
StreamingTV,104.2
OnlineSecurity,86.6
Contract,73.0
InternetService_AvgTenure,48.8
ServiceCount,43.0
TechSupport,35.6
PhoneService,33.6
InternetService,30.8
Contract_AvgCharge,24.0
OnlineBackup,13.0
DeviceProtection,9.4
Partner,5.6
gender,2.6
